"Name","Component","Side","Centre X","Centre Y","Rotation"
"CONN4","BORNA_DOBLE","Top","476.27","541.65","180.00"
"CONN1","BORNA_TRIPLE","Top","506.00","541.80","180.00"
"CONN2","BORNA_TRIPLE","Top","468.60","517.93","90.00"
"CONN3","BORNA_TRIPLE","Top","515.27","517.98","90.00"
"C1","C 10uF","Top","484.38","537.73","90.00"
"C2","C 22uF","Top","489.10","537.83","90.00"
"C3","C 100nF","Top","503.10","532.82","180.00"
"C4","C 100nF","Top","492.20","532.72","180.00"
"C5","C 100nF","Top","480.50","532.62","180.00"
"U2","INA241A1","Top","507.01","532.85","180.00"
"U3","INA241A1","Top","496.12","532.85","180.00"
"U4","INA241A1","Top","484.24","532.85","180.00"
"U1","LM1117IMP-3.3","Top","486.85","541.92","180.00"
"R1","ShuntResistor","Bottom","503.80","522.93","90.00"
"R2","ShuntResistor","Bottom","491.80","516.63","90.00"
"R3","ShuntResistor","Bottom","481.00","509.63","90.00"
